"Date","Price","Open","High","Low","Change %"
"Dec 04, 2016","1.2576","1.2728","1.2776","1.2548","-1.20%"
"Nov 27, 2016","1.2729","1.2477","1.2747","1.2391","2.03%"
"Nov 20, 2016","1.2476","1.2347","1.2514","1.2310","1.05%"
"Nov 13, 2016","1.2346","1.2593","1.2614","1.2300","-2.03%"
"Nov 06, 2016","1.2602","1.2513","1.2675","1.2351","0.66%"
"Oct 30, 2016","1.2519","1.2179","1.2559","1.2143","2.74%"
"Oct 23, 2016","1.2185","1.2225","1.2275","1.2086","-0.41%"
"Oct 16, 2016","1.2235","1.2188","1.2331","1.2136","0.39%"
"Oct 09, 2016","1.2187","1.2432","1.2450","1.2088","-1.99%"
"Oct 02, 2016","1.2434","1.2940","1.2948","1.1452","-4.18%"
"Sep 25, 2016","1.2976","1.2953","1.3059","1.2915","0.02%"
"Sep 18, 2016","1.2974","1.2994","1.3121","1.2913","-0.21%"
"Sep 11, 2016","1.3001","1.3275","1.3353","1.2998","-2.00%"
"Sep 04, 2016","1.3267","1.3300","1.3450","1.3242","-0.20%"
"Aug 28, 2016","1.3293","1.3137","1.3356","1.3061","1.17%"
"Aug 21, 2016","1.3139","1.3060","1.3281","1.3028","0.49%"
"Aug 14, 2016","1.3075","1.2920","1.3186","1.2865","1.18%"
"Aug 07, 2016","1.2923","1.3060","1.3101","1.2905","-1.15%"
"Jul 31, 2016","1.3073","1.3234","1.3376","1.3023","-1.19%"
"Jul 24, 2016","1.3231","1.3116","1.3305","1.3060","0.92%"
"Jul 17, 2016","1.3111","1.3172","1.3316","1.3066","-0.62%"
"Jul 10, 2016","1.3193","1.2951","1.3481","1.2851","1.83%"
"Jul 03, 2016","1.2956","1.3248","1.3341","1.2798","-2.31%"
"Jun 26, 2016","1.3262","1.3564","1.3564","1.3119","-3.06%"
"Jun 19, 2016","1.3680","1.4351","1.5020","1.3226","-4.72%"
"Jun 12, 2016","1.4358","1.4258","1.4388","1.4011","0.70%"
"Jun 05, 2016","1.4258","1.4515","1.4645","1.4179","-1.80%"
"May 29, 2016","1.4520","1.4624","1.4724","1.4385","-0.72%"
"May 22, 2016","1.4625","1.4508","1.4743","1.4445","0.86%"
"May 15, 2016","1.4501","1.4348","1.4662","1.4331","0.97%"
"May 08, 2016","1.4362","1.4429","1.4530","1.4339","-0.47%"
"May 01, 2016","1.4430","1.4611","1.4771","1.4413","-1.25%"
"Apr 24, 2016","1.4613","1.4414","1.4671","1.4403","1.46%"
"Apr 17, 2016","1.4403","1.4222","1.4451","1.4130","1.47%"
"Apr 10, 2016","1.4195","1.4123","1.4348","1.4089","0.49%"
"Apr 03, 2016","1.4126","1.4223","1.4325","1.4008","-0.70%"
"Mar 27, 2016","1.4226","1.4134","1.4465","1.4123","0.59%"
"Mar 20, 2016","1.4143","1.4480","1.4480","1.4056","-2.33%"
"Mar 13, 2016","1.4481","1.4385","1.4517","1.4054","0.65%"
"Mar 06, 2016","1.4387","1.4233","1.4438","1.4119","1.12%"
"Feb 28, 2016","1.4227","1.3870","1.4249","1.3836","2.57%"
"Feb 21, 2016","1.3870","1.4310","1.4321","1.3855","-3.72%"
